"DateTime","WCS","WTI","Differential"
"2015-01-01 00:00:00",34.3,47.2,-12.9
"2015-02-01 00:00:00",37.7,50.6,-12.9
"2015-03-01 00:00:00",34.9,47.8,-12.9
"2015-04-01 00:00:00",41.9,54.5,-12.6
"2015-05-01 00:00:00",51.1,59.3,-8.2
"2015-06-01 00:00:00",50.8,59.8,-9
"2015-07-01 00:00:00",37.6,50.6,-13
"2015-08-01 00:00:00",26.4,42.7,-16.3
"2015-09-01 00:00:00",32,45.5,-13.5
"2015-10-01 00:00:00",31.8,46.2,-14.4
"2015-11-01 00:00:00",29.3,42.4,-13.1
"2015-12-01 00:00:00",24.7,37.2,-12.5
"2016-01-01 00:00:00",18.2,31.7,-13.5
"2016-02-01 00:00:00",17.3,30.3,-13
"2016-03-01 00:00:00",24.3,37.5,-13.2
"2016-04-01 00:00:00",25.7,40.8,-15.1
"2016-05-01 00:00:00",33.6,46.6,-13
"2016-06-01 00:00:00",36.6,48.8,-12.2
"2016-07-01 00:00:00",31.5,44.4,-12.9
"2016-08-01 00:00:00",29.2,44.9,-15.7
"2016-09-01 00:00:00",30.8,45.2,-14.4
"2016-10-01 00:00:00",36,49.8,-13.8
"2016-11-01 00:00:00",30,45.6,-15.6
"2016-12-01 00:00:00",36.1,51.9,-15.8
"2017-01-01 00:00:00",38.9,52.5,-13.6
"2017-02-01 00:00:00",39.4,53.4,-14
"2017-03-01 00:00:00",37.1,49.3,-12.2
"2017-04-01 00:00:00",42,51.1,-9.1
"2017-05-01 00:00:00",38.1,48.4,-10.3
"2017-06-01 00:00:00",35.6,45.2,-9.6
"2017-07-01 00:00:00",36.1,46.6,-10.5
"2017-08-01 00:00:00",38.4,48,-9.6
"2017-09-01 00:00:00",37.3,49.2,-11.9
"2017-11-01 00:00:00",41,56.6,-15.6
"2017-12-01 00:00:00",33.9,57.8,-23.9
"2018-01-01 00:00:00",36.8,63.7,-26.9
"2018-02-01 00:00:00",35.4,62.2,-26.8
"2018-03-01 00:00:00",37.3,62.7,-25.4
"2018-04-01 00:00:00",48.3,66.3,-18
"2018-05-01 00:00:00",52.9,69.9,-17
"2018-06-01 00:00:00",45.7,67.9,-22.2
"2018-07-01 00:00:00",47.4,70.8,-23.4
"2018-08-01 00:00:00",39.3,67.9,-28.6
"2018-09-01 00:00:00",37.2,70.2,-33
"2018-10-01 00:00:00",27.6,70.6,-43
"2018-11-01 00:00:00",20.8,57,-36.2
"2018-12-01 00:00:00",30.9,52.6,-21.7
"2019-01-01 00:00:00",40.9,51.4,-10.5
"2019-02-01 00:00:00",42.5,55,-12.5
"2019-03-01 00:00:00",47.3,58.2,-10.9
"2019-04-01 00:00:00",53.4,63.9,-10.5
"2019-05-01 00:00:00",47.4,60.8,-13.4
"2019-06-01 00:00:00",40.3,54.7,-14.4
"2019-07-01 00:00:00",44.8,57.3,-12.5
"2019-08-01 00:00:00",42.2,54.8,-12.6
"2019-09-01 00:00:00",44.1,56.9,-12.8
"2019-10-01 00:00:00",37.1,54,-16.9
"2019-11-01 00:00:00",37.1,57,-19.9
"2019-12-01 00:00:00",37.5,59.7,-22.2
"2020-01-01 00:00:00",36.8,57.5,-20.7
"2020-02-01 00:00:00",34.3,50.6,-16.3
"2020-03-01 00:00:00",21.3,29.2,-7.9
"2020-04-01 00:00:00",8.3,16.5,-8.2
"2020-05-01 00:00:00",19.6,28.6,-9
"2020-06-01 00:00:00",29.1,38.3,-9.2
"2020-07-01 00:00:00",32,40.7,-8.7
"2020-08-01 00:00:00",31,42.4,-11.4
"2020-09-01 00:00:00",30.2,39.6,-9.4
"2020-10-01 00:00:00",29.9,39.4,-9.5
"2020-11-01 00:00:00",29.5,40.9,-11.4
"2020-12-01 00:00:00",32.8,47,-14.2
"2021-01-01 00:00:00",38.2,52,-13.8
"2021-02-01 00:00:00",46.2,59,-12.8
"2021-03-01 00:00:00",49.5,60.5,-11
